source,dataset,method,precision_pct,recall_pct,f1_pct,time_s
SVDB,857,GDN,67.4,93.2,78.2,24
SVDB,857,AT,70.2,94.8,80.7,241
SVDB,857,TranAD,69.3,94.9,80.1,21
SVDB,857,FuSAGNet,44.9,80.4,57.6,441
SVDB,857,MTGFlow,67.1,90.4,77,186
SVDB,857,GCAD,64.3,89.1,74.7,152
SVDB,857,STAMP,71.8,95.1,81.8,39
SVDB,857,DAMP,68.3,92.3,78.5,51
SVDB,857,Ours,74.6,96.1,84,124
SVDB,858,k-means,77.1,45.3,57.1,17
SVDB,858,OCSVM,75.6,48.2,58.8,15
SVDB,858,MAD-GAN,88.1,45.6,60.1,26
SVDB,858,OmniAnomaly,95.1,61.4,74.7,191
SVDB,858,USAD,84.2,42.8,56.8,83
SVDB,858,GDN,94.1,61.7,74.6,25
SVDB,858,AT,95.7,68.4,79.8,224
SVDB,858,TranAD,95.4,64.7,77.1,23
SVDB,858,FuSAGNet,88.2,40,55,475
